account_id,account_name,tweet_time,tweet,keyword,account_lang,fake_follower,political_bot,spammer,bot_score
1524721665472704515,@maxiflores000,2022-05-12 12:02:27,"RT @amul_alhiani: أفضل الاسعار والخامات لجميع الكنب
والمفروشات
مؤسسة الذوق الناعم
كنب ومفروشات فاخرة
الخشب ضمان ١٠ سنوات
اسفنج ضمان ٥ سنوات…",['#الرياض'],ar,0.61,0.22,0.1,0.73
1524745596124360705,@aboaljwharh,2022-05-12 13:37:33,"عمارة للبيع في بدر - الدمام بسعر 1350000 ريال سعودي https://t.co/FQ4pFLRbUL 

#عقارات #مكة_المكرمة #الرياض #جدة… https://t.co/qcYwnewAHu",['#الرياض'],ar,0.43,0.0,0.86,0.95
1524746210002751488,@maesapugay,2022-05-12 13:39:59,RT @Clean_Alryiadh1: شركة تنظيف مكيفات بالرياض صيانة مكيفات غسيل مكيفات بالرياض شباك اسبلت دولابي مركزية مخفي تعبئة فريون 0509724460 #الممل…,['#الرياض'],ar,0.58,0.09,0.15,0.72
1524746230189993985,@mstaml_com,2022-05-12 13:40:04,"قطو للبيع بسعر مناسب في الرياض
 بسعر 100 ريال سعودي بداية السوم
https://t.co/hrr1c7OXwS
#مستعمل #قطة #حيوانات… https://t.co/54QsrGsmVx",['#الرياض'],ar,0.15,0.06,0.04,0.81
1524796469319974913,@hlaalomr19,2022-05-12 16:59:42,"RT @hna92019099: صباح الخير 🇸🇦💛 #الرياض 
عزيزي العميل نقدم لكم خدمه تنظيف بالرياض 👨‍🚒💯
تنظيف فلل "" تنظيف مكيفات "" منازل
غسيل ؛ سجاد "" موكيت…",['#الرياض'],ar,0.48,0.13,0.04,0.7
1524796918991290368,@Vertu_girls,2022-05-12 17:01:29,البريد السعودي ما ودكم تغيرون لون المبنى .. يعني .. غبار الرياض ما ينفع معه كذا  #سبل #البريد_السعودي #السعوديه… https://t.co/ZFZxbDy51p,['#الرياض'],ar,0.36,0.0,0.42,0.57
1524796923424780288,@morooj1999,2022-05-12 17:01:30,"RT @mytoys__sa: سحب على مبلغ نقدي موزع بين ثلاث فائزين 

شروط المسابقة :
- متابعة الحساب .
- رتويت لهذه التغريدة .

آخر يوم للمسابقة بتاريخ…",['#الرياض'],ar,0.43,0.18,0.18,0.45
1524810745057361921,@Ameshary55,2022-05-12 17:56:25,"RT @0llt5_: شركة غسيل كنب بالرياض ,ازالة اصعب البقع الموجوده في الكنب باستخدام افضل المنظفات العالميه #الرياض
تنظيف موكيت
غسيل مجالس
تنظيف…",['#الرياض'],ar,0.14,0.34,0.03,0.14
1524811083239804933,@salam_soly,2022-05-12 17:57:46,RT @AsadCompanyRUH: #محمد_بن_سلمان #الخميس_الونيس #يوم_الجمعة #كلمه_ودك_فيها #الرياض #الاسهم_السعوديه #ساعه_استجابه #شقق #الاتفاق_الهلال #ا…,['#الرياض'],ar,0.33,0.17,0.16,0.79
1524820098158153729,@esraafss,2022-05-12 18:33:35,"RT @d_salemalmalkSs: ليش تضييع الوقت والانتظار !؟
صحح نظرك مع #دسالم_المالكي

 * استشاري عيون تخصص #تصحيح_نظر (ليزك_ليزر)والقرنيه 
*خبره اك…",['#الرياض'],ar,0.55,0.14,0.17,0.77
