cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.id_str,user.user_data.screen_name
0.7973765977480777,0.7527121552274618,0.0,1.5,0.3,3.4,3.4,1.0,1.2,0.2,1.6,0.0,2.1,1.2,0.8,0.6,0.01,0.3,0.06,0.69,0.69,0.2,0.24,0.04,0.31,0.01,0.42,0.24,0.15,0.13,ar,1338910056025378819,lleloo5
0.7973765977480777,0.7527121552274618,0.0,1.5,0.3,3.4,3.4,1.0,1.2,0.2,1.6,0.0,2.1,1.2,0.8,0.6,0.01,0.3,0.06,0.69,0.69,0.2,0.24,0.04,0.31,0.01,0.42,0.24,0.15,0.13,ar,1338910056025378819,lleloo5
0.7973765977480777,0.7527121552274618,0.0,1.5,0.3,3.4,3.4,1.0,1.2,0.2,1.6,0.0,2.1,1.2,0.8,0.6,0.01,0.3,0.06,0.69,0.69,0.2,0.24,0.04,0.31,0.01,0.42,0.24,0.15,0.13,ar,1338910056025378819,lleloo5
0.7946723107742963,0.7966241294741505,0.2,1.4,0.0,2.3,2.0,0.5,1.2,0.2,1.0,0.2,3.2,1.7,0.6,0.8,0.04,0.27,0.01,0.46,0.4,0.1,0.24,0.05,0.21,0.03,0.64,0.34,0.12,0.15,ar,1237759412963553286,mahalyafai
0.8995513244218455,0.8421031637823202,1.6,3.6,0.1,4.7,4.7,3.4,1.0,0.6,3.7,0.1,4.3,4.3,3.2,1.1,0.33,0.71,0.02,0.94,0.94,0.68,0.19,0.11,0.74,0.02,0.86,0.86,0.64,0.22,ar,1054855935359926273,consult_stock
0.8595061719862279,0.8963872382550993,0.4,3.6,0.2,4.4,4.4,3.8,1.9,0.0,3.2,0.0,4.7,4.7,2.9,1.8,0.07,0.71,0.05,0.89,0.89,0.75,0.38,0.01,0.64,0.01,0.94,0.94,0.58,0.37,ar,1272988959304450049,market_122
0.8595061719862279,0.8052176344738626,1.8,3.3,1.4,4.4,4.4,0.2,0.9,1.6,2.9,0.6,3.2,3.2,0.2,0.5,0.35,0.66,0.28,0.89,0.89,0.04,0.18,0.33,0.58,0.12,0.63,0.63,0.04,0.1,ar,1488205183976943627,Ahla__0
0.923535423667034,1.0,0.2,4.8,3.9,4.6,4.8,2.3,2.8,0.0,5.0,2.8,4.6,5.0,1.7,2.4,0.05,0.97,0.78,0.93,0.97,0.47,0.55,0.01,1.0,0.55,0.91,1.0,0.34,0.48,ar,1504402223991828490,nwafaln06125728
0.9373635156266058,0.8808312676897403,0.9,2.4,0.6,5.0,5.0,3.2,0.8,0.4,2.1,0.2,4.6,4.6,3.4,0.6,0.18,0.48333333333333334,0.12,0.99,0.99,0.64,0.16,0.08,0.42,0.05,0.92,0.92,0.68,0.11,ar,2335959073,HNA_ALAMAL
0.8008799175144752,0.8039704121290502,1.6,2.0,0.5,3.7,3.7,0.4,0.4,2.2,1.6,0.1,2.6,2.1,0.2,0.4,0.33,0.39,0.1,0.74,0.74,0.07,0.08,0.45,0.32,0.02,0.51,0.42,0.03,0.07,ar,1387560019420450816,ABDALLH__77090
